cover,artwork name,song genre,artist,song title,artistic category,mood,year,collections
https://storage.googleapis.com/workthisfucker/ALLLRC/LRC0303241133.jpeg,Dreamscape Symphony,Psychedelic,Tame Impala,Echoes of Serenity,Abstract,Calming,"Pink, green, blue, cool tone","Trippy, boho, hipstoric, contemporary, spring"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90023.jpeg,Veil of Luminescence,Psychedelic,Radiohead,Shadow's Edge,abstract,lonely,"dark, green, black and white, warm","trippy, contemporary, stoner"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource364.jpg,City Mashup Dreams,Indie,Glass Animals,Heat Waves,surreal,euphoric,"vibrant, colorful","contemporary, graffiti, trippy"
https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsR18.JPG,Dynamic Athlete 53,Indie,Imagine Dragons,Vortex of Motion,Abstract,Euphoric,Vibrant,"Contemporary, graffiti, trippy"
https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsZ19.jpeg,Chaotic Vision,Alternative Rock,Radiohead,Painted Red,abstract,rebellious,"red, blue, black, white","graffiti, contemporary, trippy"
https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBRUINS8828.jpg,The Fortune Elephant,Indie Psychedelic,Tame Elephant,Circles of Luck,Surreal,Euphoric,"Vibrant, yellow, blue, black","Animal, trippy, contemporary, maximalist"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource677.jpg,Vibrant Journeys,Psychedelic,Tame Impala,Kaleidoscopic Dream,"abstract, maximalist",euphoric,"vibrant, colorful, yellow, blue, green, purple, red, gold, brown, black, warm","festival, graffiti, contemporary, trippy"
https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsR4.jpeg,Vital Brush Symphony,hip hop,Graffiti Beats Collective,Energetic Strokes,abstract,rebellious,vibrant,"graffiti, contemporary, neon, trippy"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRC99047.jpeg,Urban Interconnection,Psychedelic,Tame Impala,Urban Dreamscape,Abstract,Wanderlust,Colorful,"Contemporary, Graffiti, Trippy"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource85.jpg,"""Mysteries of the Human Form""",Indie,Bon Iver,"""Skeletons""",modern pop,mysterious,black and white,"contemporary, trippy"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource421.jpg,Rhythmic Dreams of Summer,Psychedelic,Tame Impala,Dreamer’s Brushstroke,Abstract,Calming,"Red, Warm, Vibrant, Neutral","Trippy, Contemporary, Boho, Spring"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRC0303241151.jpeg,Dreamscape Spectrum,psychedelic,Tame Impala,Cosmic Reverie,abstract,euphoric,"vibrant, blue, purple, red, magenta, yellow","trippy, festival, neon"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource472.jpg,Shadow Mirage,psychedelic,Tame Impala,Reflection Sands,abstract,mysterious,beige pink red warm tone,desert beach trippy summer
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource126.jpg,Dreaming of Winter's Reflection,Dream Pop,Sigur Rós,Serene Currents,"Abstract, Nature",Calming,"Cool tone, Blue, Green","Trippy, Winter, Contemporary"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource373.jpg,Dream in Vibrant Blue,Psychedelic,Aurora,Veil of Mystery,Abstract,Calming,"Vibrant, Colorful, Blue, Purple","Trippy, Contemporary"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource457.jpg,"""Nostalgic Whimsy""",Ambient,Brian Eno,"""Deep Blue Day""",abstract,calming,"blue, yellow, purple","contemporary, boho, trippy"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource148.jpg,Dreamscape Vessel,Psychedelic,Tame Impala,Voyage in Chroma,,Euphoric,"Blue, Purple, Pink","Trippy, Contemporary"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource137.jpg,Reflective Layers of Venice,psychedelic,Tame Impala,Echoes on the Canal,abstract,wanderlust,"green, warm, cool tone","trippy, contemporary, summer, hipstoric"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource436.jpg,Dreamscape Flow,Indie,Tame Forest,Cascading Dreams,"abstract, nature","calming, wanderlust","vibrant, green, blue, brown, warm tone","forest, trippy, boho"
https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource423.jpg,Dreamy Abstract Motion,Indie,Bon Iver,Blurred Lines,abstract,euphoric,"green, blue, brown, cool tone","contemporary, trippy"
